email_text,category
We are facing frequent blackouts in our area. Please investigate.,Power Outage
I need a duplicate copy of my last month's electricity bill.,Billing Issue
Where can I find information about the latest electricity tariffs?,General Inquiry
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
I think my electricity bill is too high. Can you check this?,Billing Issue
How can I report electricity theft in my area?,General Inquiry
We are facing frequent blackouts in our area. Please investigate.,Power Outage
How can I apply for a new electricity connection?,General Inquiry
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
Where can I find information about the latest electricity tariffs?,General Inquiry
My electricity is out again. When will it be restored?,Power Outage
"I paid my last bill, but it still shows as unpaid. Please update it.",Billing Issue
There is an extra charge on my bill that I don’t understand.,Billing Issue
Streetlights are not working in my area. Please fix them.,Technical Complaint
There is an extra charge on my bill that I don’t understand.,Billing Issue
My power supply keeps tripping randomly. What could be the problem?,Technical Complaint
Streetlights are not working in my area. Please fix them.,Technical Complaint
There is an extra charge on my bill that I don’t understand.,Billing Issue
Our locality has been without power for hours. Kindly resolve this issue.,Power Outage
My power supply keeps tripping randomly. What could be the problem?,Technical Complaint
My electricity bill amount suddenly increased. There must be a mistake.,Billing Issue
Streetlights are not working in my area. Please fix them.,Technical Complaint
My electricity bill amount suddenly increased. There must be a mistake.,Billing Issue
There is an extra charge on my bill that I don’t understand.,Billing Issue
I want to install solar panels. Do you provide any support for that?,General Inquiry
I think my electricity bill is too high. Can you check this?,Billing Issue
My power supply keeps tripping randomly. What could be the problem?,Technical Complaint
My electricity meter seems faulty. The readings are incorrect.,Technical Complaint
My electricity bill amount suddenly increased. There must be a mistake.,Billing Issue
My power supply keeps tripping randomly. What could be the problem?,Technical Complaint
I need to change the name on my electricity bill. What is the process?,General Inquiry
Our locality has been without power for hours. Kindly resolve this issue.,Power Outage
There is a short circuit issue in my house. Can someone check?,Technical Complaint
I think my electricity bill is too high. Can you check this?,Billing Issue
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
I need to change the name on my electricity bill. What is the process?,General Inquiry
How can I apply for a new electricity connection?,General Inquiry
My electricity is out again. When will it be restored?,Power Outage
I think my electricity bill is too high. Can you check this?,Billing Issue
My power supply keeps tripping randomly. What could be the problem?,Technical Complaint
There was a power cut last night and it hasn't come back yet.,Power Outage
I think my electricity bill is too high. Can you check this?,Billing Issue
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
I need a duplicate copy of my last month's electricity bill.,Billing Issue
My electricity bill amount suddenly increased. There must be a mistake.,Billing Issue
My electricity bill amount suddenly increased. There must be a mistake.,Billing Issue
Electricity supply in my house is unstable. It turns off and on randomly.,Power Outage
Where can I find information about the latest electricity tariffs?,General Inquiry
There is an extra charge on my bill that I don’t understand.,Billing Issue
Streetlights are not working in my area. Please fix them.,Technical Complaint
How can I apply for a new electricity connection?,General Inquiry
I think my electricity bill is too high. Can you check this?,Billing Issue
My electricity is out again. When will it be restored?,Power Outage
